type,hand_id,hand_position_x,hand_position_y,hand_position_z,hand_stabilized_x,hand_stabilized_y,hand_stabilized_z,hand_direction_x,hand_direction_y,hand_direction_z,hand_dynamics_x,hand_dynamics_y,hand_dynamics_z,hand_roll,hand_pitch,hand_yaw,hand_is_left,hand_is_right,hand_grab,hand_pinch,hand_time,sphere_position_x,sphere_position_y,sphere_position_z,sphere_radius,outstretched_fingers_num,outstretched_fingers_by_angle_num,thumb_is_outstretched,index_is_outstretched,middle_is_outstretched,ring_is_outstretched,pinky_is_outstretched,thumb_is_outstretched_by_angle,index_is_outstretched_by_angle,middle_is_outstretched_by_angle,ring_is_outstretched_by_angle,pinky_is_outstretched_by_angle,arm_width,arm_wrist_pos_x,arm_wrist_pos_y,arm_wrist_pos_z,arm_elbow_pos_x,arm_elbow_pos_y,arm_elbow_pos_z,thumb_finger_id,thumb_finger_position_x,thumb_finger_position_y,thumb_finger_position_z,thumb_finger_stabilized_x,thumb_finger_stabilized_y,thumb_finger_stabilized_z,thumb_finger_velocity_x,thumb_finger_velocity_y,thumb_finger_velocity_z,thumb_finger_direction_x,thumb_finger_direction_y,thumb_finger_direction_z,thumb_finger_time,thumb_raw_position_of_joint_dip_x,thumb_raw_position_of_joint_dip_y,thumb_raw_position_of_joint_dip_z,thumb_raw_position_of_joint_mcp_x,thumb_raw_position_of_joint_mcp_y,thumb_raw_position_of_joint_mcp_z,thumb_raw_position_of_joint_pip_x,thumb_raw_position_of_joint_pip_y,thumb_raw_position_of_joint_pip_z,thumb_raw_position_of_joint_tip_x,thumb_raw_position_of_joint_tip_y,thumb_raw_position_of_joint_tip_z,thumb_position_of_joint_dip_x,thumb_position_of_joint_dip_y,thumb_position_of_joint_dip_z,thumb_position_of_joint_mcp_x,thumb_position_of_joint_mcp_y,thumb_position_of_joint_mcp_z,thumb_position_of_joint_pip_x,thumb_position_of_joint_pip_y,thumb_position_of_joint_pip_z,thumb_position_of_joint_tip_x,thumb_position_of_joint_tip_y,thumb_position_of_joint_tip_z,index_finger_id,index_finger_position_x,index_finger_position_y,index_finger_position_z,index_finger_stabilized_x,index_finger_stabilized_y,index_finger_stabilized_z,index_finger_velocity_x,index_finger_velocity_y,index_finger_velocity_z,index_finger_direction_x,index_finger_direction_y,index_finger_direction_z,index_finger_time,index_raw_position_of_joint_dip_x,index_raw_position_of_joint_dip_y,index_raw_position_of_joint_dip_z,index_raw_position_of_joint_mcp_x,index_raw_position_of_joint_mcp_y,index_raw_position_of_joint_mcp_z,index_raw_position_of_joint_pip_x,index_raw_position_of_joint_pip_y,index_raw_position_of_joint_pip_z,index_raw_position_of_joint_tip_x,index_raw_position_of_joint_tip_y,index_raw_position_of_joint_tip_z,index_position_of_joint_dip_x,index_position_of_joint_dip_y,index_position_of_joint_dip_z,index_position_of_joint_mcp_x,index_position_of_joint_mcp_y,index_position_of_joint_mcp_z,index_position_of_joint_pip_x,index_position_of_joint_pip_y,index_position_of_joint_pip_z,index_position_of_joint_tip_x,index_position_of_joint_tip_y,index_position_of_joint_tip_z,middle_finger_id,middle_finger_position_x,middle_finger_position_y,middle_finger_position_z,middle_finger_stabilized_x,middle_finger_stabilized_y,middle_finger_stabilized_z,middle_finger_velocity_x,middle_finger_velocity_y,middle_finger_velocity_z,middle_finger_direction_x,middle_finger_direction_y,middle_finger_direction_z,middle_finger_time,middle_raw_position_of_joint_dip_x,middle_raw_position_of_joint_dip_y,middle_raw_position_of_joint_dip_z,middle_raw_position_of_joint_mcp_x,middle_raw_position_of_joint_mcp_y,middle_raw_position_of_joint_mcp_z,middle_raw_position_of_joint_pip_x,middle_raw_position_of_joint_pip_y,middle_raw_position_of_joint_pip_z,middle_raw_position_of_joint_tip_x,middle_raw_position_of_joint_tip_y,middle_raw_position_of_joint_tip_z,middle_position_of_joint_dip_x,middle_position_of_joint_dip_y,middle_position_of_joint_dip_z,middle_position_of_joint_mcp_x,middle_position_of_joint_mcp_y,middle_position_of_joint_mcp_z,middle_position_of_joint_pip_x,middle_position_of_joint_pip_y,middle_position_of_joint_pip_z,middle_position_of_joint_tip_x,middle_position_of_joint_tip_y,middle_position_of_joint_tip_z,ring_finger_id,ring_finger_position_x,ring_finger_position_y,ring_finger_position_z,ring_finger_stabilized_x,ring_finger_stabilized_y,ring_finger_stabilized_z,ring_finger_velocity_x,ring_finger_velocity_y,ring_finger_velocity_z,ring_finger_direction_x,ring_finger_direction_y,ring_finger_direction_z,ring_finger_time,ring_raw_position_of_joint_dip_x,ring_raw_position_of_joint_dip_y,ring_raw_position_of_joint_dip_z,ring_raw_position_of_joint_mcp_x,ring_raw_position_of_joint_mcp_y,ring_raw_position_of_joint_mcp_z,ring_raw_position_of_joint_pip_x,ring_raw_position_of_joint_pip_y,ring_raw_position_of_joint_pip_z,ring_raw_position_of_joint_tip_x,ring_raw_position_of_joint_tip_y,ring_raw_position_of_joint_tip_z,ring_position_of_joint_dip_x,ring_position_of_joint_dip_y,ring_position_of_joint_dip_z,ring_position_of_joint_mcp_x,ring_position_of_joint_mcp_y,ring_position_of_joint_mcp_z,ring_position_of_joint_pip_x,ring_position_of_joint_pip_y,ring_position_of_joint_pip_z,ring_position_of_joint_tip_x,ring_position_of_joint_tip_y,ring_position_of_joint_tip_z,pinky_finger_id,pinky_finger_position_x,pinky_finger_position_y,pinky_finger_position_z,pinky_finger_stabilized_x,pinky_finger_stabilized_y,pinky_finger_stabilized_z,pinky_finger_velocity_x,pinky_finger_velocity_y,pinky_finger_velocity_z,pinky_finger_direction_x,pinky_finger_direction_y,pinky_finger_direction_z,pinky_finger_time,pinky_raw_position_of_joint_dip_x,pinky_raw_position_of_joint_dip_y,pinky_raw_position_of_joint_dip_z,pinky_raw_position_of_joint_mcp_x,pinky_raw_position_of_joint_mcp_y,pinky_raw_position_of_joint_mcp_z,pinky_raw_position_of_joint_pip_x,pinky_raw_position_of_joint_pip_y,pinky_raw_position_of_joint_pip_z,pinky_raw_position_of_joint_tip_x,pinky_raw_position_of_joint_tip_y,pinky_raw_position_of_joint_tip_z,pinky_position_of_joint_dip_x,pinky_position_of_joint_dip_y,pinky_position_of_joint_dip_z,pinky_position_of_joint_mcp_x,pinky_position_of_joint_mcp_y,pinky_position_of_joint_mcp_z,pinky_position_of_joint_pip_x,pinky_position_of_joint_pip_y,pinky_position_of_joint_pip_z,pinky_position_of_joint_tip_x,pinky_position_of_joint_tip_y,pinky_position_of_joint_tip_z
0,402,444.65463,308.30585,44.914097,447.10626,299.6934,45.335754,-143.86244,34.585823,-26.724178,24.585308,34.585823,-26.724178,24.585308,34.585823,-26.724178,0,1,0.0,0.0,3.876621,566.8679,104.14307,36.857105,212.52739,5,5,1,1,1,1,1,1,1,1,1,1,63.72,502.13568,334.09836,35.226807,758.8102,422.03876,-19.941132,4020,277.47958,295.38477,39.0923,277.11533,290.59982,39.287636,383.96765,510.71945,47.854416,-0.7957651,-0.40642586,-0.4489721,3.876621,-45.52494,195.98502,45.14494,24.278502,159.16286,72.43369,-18.392853,182.12769,60.45291,-65.90632,207.31557,43.15839,308.95013,304.01498,38.713764,448.557,340.83716,31.891577,363.2143,317.8723,34.886772,268.18738,292.68445,39.210403,4021,320.54837,241.25076,59.972523,320.41483,232.43057,59.522205,383.69406,512.16504,48.373447,-0.41207993,-0.58470947,-0.6987882,3.876621,-34.155895,251.33922,-30.58998,-7.4523416,210.23355,15.246227,-24.195759,237.20656,-13.699987,-41.51207,260.66345,-42.87261,331.6882,248.66077,57.647495,385.0953,289.76645,46.188442,351.6085,262.79346,53.424995,316.97586,239.33655,60.71815,4022,346.21027,237.0097,64.40339,345.97095,226.86795,63.7359,381.31802,515.02795,48.797153,-0.44032875,-0.5704807,-0.6932982,3.876621,-20.133112,255.16002,-47.542908,11.8394985,208.92267,4.4834714,-7.6117473,238.93759,-27.828003,-28.975677,264.99033,-60.89631,359.73376,244.83997,61.885727,423.679,291.07733,48.87913,384.77652,261.0624,56.957,342.04865,235.00967,65.224075,4023,457.1896,261.89557,70.204605,463.5034,256.78577,70.198654,363.8663,513.27795,48.29536,-0.06937085,-0.38670248,-0.91959167,3.876621,29.628683,233.31824,-67.33229,32.67255,202.3828,-2.032678,31.550394,222.6058,-41.857765,27.630007,239.44504,-84.86967,459.25735,266.68176,66.83307,465.3451,297.6172,50.50817,463.1008,277.3942,60.46444,455.26,260.55496,71.217415,4024,502.5109,276.17496,66.899025,509.3581,265.3907,66.78137,367.124,518.96387,49.227676,-0.010348137,-0.4506171,-0.89265734,3.876621,51.590584,218.19095,-55.637497,50.37081,191.69046,-7.5935264,51.79298,209.37743,-38.178192,50.65831,225.18172,-71.36541,503.18115,281.80905,63.909374,500.74164,308.30954,51.89838,503.58597,290.62256,59.544548,501.31662,274.8183,67.841354
1,402,439.76382,309.497,46.48423,436.86966,307.336,46.415165,-163.05495,42.691704,-15.699124,33.389664,42.691704,-15.699124,33.389664,42.691704,-15.699124,0,1,0.0,0.0,6.877269,508.521,186.44742,37.9635,131.9811,5,5,1,1,1,1,1,1,1,1,1,1,63.72,478.773,344.04608,37.067814,707.39404,464.29755,-16.184357,4020,256.34106,299.02734,42.62404,252.10588,296.97253,42.322556,421.734,511.9543,50.70596,-0.729302,-0.42477787,-0.5363603,6.877269,-56.5418,191.8236,33.195568,10.503239,152.59604,61.503292,-31.675814,177.34053,51.483097,-76.207344,203.35521,27.902466,286.91638,308.1764,41.701107,421.00647,347.40396,34.624176,336.64838,322.6595,37.129227,247.58531,296.64478,43.024384,4021,317.7588,219.78021,54.98931,315.18246,217.76639,54.533966,409.09662,512.9707,51.30355,-0.47172937,-0.79424846,-0.38293707,6.877269,-34.228806,270.66977,-14.083877,-5.692295,214.43092,8.59184,-22.826916,251.47247,-4.8281345,-43.315388,283.01096,-21.636839,331.5424,229.33023,53.52097,388.61542,285.5691,47.85204,354.34616,248.52753,51.207035,313.36923,216.98904,55.40921,4022,405.41327,211.77435,61.681583,403.1893,209.33313,61.114864,399.71967,518.21173,53.3722,-0.15652107,-0.8292167,-0.5365638,6.877269,5.4951057,276.7114,-38.555527,14.235915,210.94658,-0.37790084,9.946002,253.13145,-23.29758,1.4073654,291.35052,-49.60656,410.9902,223.2886,59.63888,428.47183,289.0534,50.094475,419.892,246.86855,55.824394,402.81473,208.64948,62.40164,4023,488.31314,237.12112,66.44071,487.52597,235.85638,66.26721,397.09146,520.9124,53.430687,0.08043926,-0.6805855,-0.7282396,6.877269,43.732754,253.73105,-54.801888,34.334,201.60829,-5.6797333,41.504425,234.87747,-34.628193,43.84462,265.1633,-69.57969,487.4655,246.26895,63.70047,468.668,298.39172,51.419933,483.00885,265.12253,58.657047,487.68924,234.8367,67.39492,4024,571.6978,288.38675,65.996185,569.98584,286.4245,65.8515,402.2881,515.1373,51.654675,0.48666024,-0.30917877,-0.81704974,6.877269,80.49147,208.32057,-52.315716,50.57376,188.65298,-10.867008,70.97298,202.2734,-36.3352,87.286896,212.34334,-67.63717,560.9829,291.67944,63.07893,501.14752,311.34702,52.71675,541.9459,297.7266,59.0838,574.5738,287.65668,66.909294
2,402,466.1783,289.93695,41.73904,459.82233,297.25806,43.114784,-169.91278,58.730328,-16.327333,53.441605,58.730328,-16.327333,53.441605,58.730328,-16.327333,0,1,1.0,1.0,11.031338,410.98102,298.85614,50.98358,38.126133,0,1,0,0,0,0,0,0,1,0,0,0,63.72,499.41364,335.3393,35.339584,732.65784,444.4873,-19.08123,4020,353.58975,292.9887,47.721313,352.39313,295.99933,48.15328,403.27478,515.43634,48.6533,-0.4930978,-0.47492275,-0.7289053,11.031338,-29.38483,209.05652,25.655325,21.88157,163.47128,71.50246,-12.572365,192.86374,50.50779,-21.103127,205.36328,4.0798335,341.23035,290.94348,43.586166,443.76315,336.52872,32.124386,374.8553,307.13626,37.373055,357.79376,294.63672,48.98004,4021,343.1307,288.74725,50.385147,346.7188,291.5097,50.64771,387.90256,501.3335,48.396427,-0.45854455,0.8224838,-0.33653727,11.031338,-27.34023,223.8469,-3.154147,11.941772,238.24525,36.92614,-16.257027,243.72665,4.9800935,-28.25121,206.95432,-0.76067436,345.31955,276.1531,50.788536,423.88354,261.75476,40.768463,367.48596,256.27335,48.75498,343.4976,293.0457,50.19017,4022,392.83444,308.92136,46.90855,385.90512,313.71478,48.84684,392.2585,496.47345,49.090378,-0.10361629,0.9453317,0.3092113,11.031338,-9.759645,199.80347,2.965013,29.836817,234.07112,24.594296,-6.813171,226.6853,-5.827844,-1.0074686,188.99652,15.604176,380.4807,300.19653,49.258747,459.67365,265.9289,43.851425,386.37366,273.3147,51.456963,397.98508,311.00348,46.098957,4023,422.54388,314.9818,48.639538,415.71384,319.16696,51.064625,398.21997,498.49136,48.51665,-0.23349048,0.9075048,0.34916648,11.031338,6.5622272,193.85237,-4.337704,47.20044,223.36136,14.442861,13.030381,218.99208,-14.010314,13.536546,182.69861,8.930467,413.12445,306.14764,51.084427,494.40088,276.63864,46.389286,426.06076,281.00793,53.50258,427.0731,317.3014,47.767384,4024,456.2372,315.40808,49.80225,451.51764,318.3423,51.711765,395.97824,499.02625,48.73641,-0.3435992,0.84533155,0.4090894,11.031338,24.632305,192.99287,-8.388367,60.137848,209.75858,4.1440625,31.352692,209.52655,-16.389664,29.986696,182.14333,3.8886368,449.26462,307.00714,52.09709,520.2757,290.24142,48.963985,462.70538,290.47345,54.097416,459.9734,317.8567,49.02784
3,402,432.20602,298.96463,46.68605,431.40912,297.18945,46.59485,-154.11588,49.80706,-29.870352,40.664165,49.80706,-29.870352,40.664165,49.80706,-29.870352,0,1,0.0,0.67512465,12.783197,347.4618,275.59662,47.583008,62.820812,2,3,0,1,1,0,0,1,1,1,0,0,63.72,485.99387,336.17346,39.248848,711.22626,429.10544,-17.529907,4020,356.58508,321.07904,56.680435,351.3504,316.79248,56.342068,452.22964,515.3905,51.016506,-0.18362108,-0.06289611,-0.98098284,12.783197,-21.3024,179.50995,-8.883334,16.887344,159.48088,58.511517,-15.041729,177.36546,24.563866,-20.762983,177.99136,-32.231384,357.3952,320.49005,52.220833,433.7747,340.5191,35.37212,369.91653,322.63452,43.85903,358.47403,322.00864,58.057846,4021,309.81323,216.31747,56.517662,309.2556,216.42981,56.694355,399.42517,499.5847,49.614155,-0.47185576,-0.6950674,-0.54243284,12.783197,-38.205055,275.57892,-18.375652,-9.837874,225.10397,15.327703,-26.800114,258.77887,-5.264832,-47.28113,285.9866,-28.436613,323.5899,224.42108,54.593914,380.32425,274.89603,46.168076,346.39978,241.22113,51.316208,305.43774,214.0134,57.109154,4022,364.13,209.59052,63.213303,364.4715,209.3653,63.177452,407.43948,500.87497,50.65532,-0.2952012,-0.73256505,-0.61335534,12.783197,-12.726791,280.51117,-43.659218,7.6436644,222.49184,2.0121875,-4.3323317,259.67966,-26.217602,-19.017809,293.59088,-55.59584,374.54642,219.48883,60.914803,415.28732,277.50818,49.496952,391.33533,240.32034,56.5544,361.9644,206.40912,63.89896,4023,381.392,349.07462,50.693794,372.6238,348.85883,51.579662,409.53534,497.35632,48.800396,-0.17092717,0.89184475,0.41880402,12.783197,-10.780008,161.80531,-11.613779,26.033884,213.76007,-8.225098,-6.044984,186.5112,-23.215488,-7.8690124,147.99075,0.62452066,378.43997,338.1947,52.903446,452.06778,286.23993,52.056274,387.91003,313.4888,55.80387,384.26196,352.00925,49.84387,4024,409.82974,341.01544,52.519817,400.5961,339.9835,53.488644,406.66647,497.9956,48.973457,-0.3267142,0.8091086,0.48846814,12.783197,5.2599773,168.38727,-18.941437,40.650513,201.38156,-17.79612,11.650115,184.21246,-28.495287,5.7434483,156.37048,-6.5935497,410.51996,331.61273,54.73536,481.30103,298.61844,54.449028,423.30023,315.78754,57.12382,411.4869,343.62952,51.648388
4,402,434.26544,268.95807,40.03617,437.04694,270.20004,41.450794,-155.96754,59.954563,-37.629417,42.462574,59.954563,-37.629417,42.462574,59.954563,-37.629417,0,1,0.5895033,0.39800116,15.428283,420.30338,280.41855,55.682957,62.241108,0,5,0,0,0,0,0,1,1,1,1,1,63.72,489.42194,310.28723,34.31282,741.3762,443.0088,-15.320045,4020,321.69513,282.1101,49.153294,326.3927,282.17523,48.353363,396.83875,499.6373,49.512455,-0.37699297,-0.29024187,-0.8795658,15.428283,-29.982574,211.59367,17.595764,18.412565,181.5799,76.28794,-17.128775,201.69771,47.585087,-42.3163,219.67271,-0.5794062,340.03485,288.4063,45.60106,436.82513,318.4201,30.928015,365.74246,298.3023,38.10373,315.3674,280.32727,50.14485,4021,307.4007,234.91107,51.98009,304.60828,228.69879,51.37138,399.08267,500.9718,50.162743,-0.5778956,0.22409199,-0.78474164,15.428283,-40.9654,274.88553,-1.9913132,-9.773495,253.37244,45.67998,-26.99743,280.3019,16.976206,-47.882225,261.2715,-9.655101,318.0692,225.11447,50.49783,380.453,246.62756,38.580006,346.00513,219.69809,45.755947,304.23553,238.72849,52.413776,4022,325.32925,233.89511,56.19771,320.31387,230.58896,55.381924,398.6343,498.6187,50.439663,-0.67371863,0.22914952,-0.7025623,15.428283,-29.757448,277.1991,-20.28454,8.123652,253.96956,32.67744,-10.599317,283.7153,-0.30619794,-39.53789,262.26657,-26.158354,340.4851,222.8009,55.071136,416.2473,246.03046,41.83064,378.80136,216.2847,50.07655,320.92422,237.73343,56.53959,4023,354.4544,244.27248,58.51165,355.41284,240.51083,58.41616,403.61957,496.62677,50.397972,-0.7200301,0.21068096,-0.6611884,15.428283,-14.049627,264.99072,-28.800772,27.091093,248.0018,21.547838,5.896648,270.827,-10.484531,-25.837803,252.1713,-35.56786,371.90076,235.00928,57.20019,454.1822,251.9982,44.61304,411.7933,229.173,52.62113,348.3244,247.82869,58.891964,4024,403.77737,247.76543,57.576317,405.9341,243.19708,57.554108,404.2687,496.17343,50.66379,-0.78620595,0.04263684,-0.6164919,15.428283,11.812914,258.55103,-25.677614,42.41504,238.20267,10.250428,27.190159,259.38495,-13.619772,-1.5874627,249.5276,-31.687176,423.62582,241.44897,56.419403,484.83008,261.79733,47.437393,454.3803,240.61505,53.40494,396.82507,250.4724,57.921795
